,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,dubbo,20,AU,1552665600,59,-32.25,148.6,66.2,17.22
1,butaritari,88,KI,1552666420,100,3.07,172.79,78.67,10
2,faanui,48,PF,1552666487,100,-16.48,-151.75,82.27,5.19
3,tiksi,8,RU,1552666487,35,71.64,128.87,-23.84,2.73
5,vaini,0,IN,1552666422,48,15.34,74.49,78.67,2.95
6,mehriz,20,IR,1552665600,19,31.58,54.44,68,16.11
7,thompson,90,CA,1552662000,77,55.74,-97.86,3.2,12.75
8,lorengau,92,PG,1552666415,96,-2.02,147.27,83.53,16.15
9,chokurdakh,44,RU,1552666445,32,70.62,147.9,-21.68,3.06
10,ushuaia,75,AR,1552665600,54,-54.81,-68.31,59,11.41
11,svetlogorsk,20,RU,1552665600,57,53.14,59.15,23,17.9
13,chara,20,GR,1552663200,58,39.42,22.43,57.2,4.41
14,rikitea,64,PF,1552666405,100,-23.12,-134.97,77.05,24.09
15,port alfred,68,ZA,1552666213,95,-33.59,26.89,73.99,1.99
16,namibe,20,AO,1552662000,62,-15.19,12.15,86,12.75
17,barrow,80,AR,1552666415,92,-38.31,-60.23,66.61,14.14
18,georgetown,40,GY,1552665600,74,6.8,-58.16,84.2,18.34
19,kulhudhuffushi,0,MV,1552666722,100,6.62,73.07,83.89,8.21
20,bukama,24,CD,1552666722,51,-9.2,25.85,90.91,4.74
21,victoria,75,BN,1552665600,78,5.28,115.24,80.6,3.36
22,yellowknife,90,CA,1552666374,85,62.45,-114.38,14,10.29
23,nikolskoye,20,RU,1552666394,93,59.7,30.79,37,13.42
24,mataura,0,NZ,1552666204,92,-46.19,168.86,48.99,3.51
25,chicama,75,PE,1552665600,83,-7.84,-79.15,73.4,10.29
26,kodiak,1,US,1552666407,37,39.95,-94.76,41,14.99
27,hithadhoo,92,MV,1552666128,100,-0.6,73.08,83.98,6.64
28,podgornoye,0,RU,1552666723,79,57.79,82.64,34.84,7.99
30,gizo,0,IL,1552666590,52,31.8,34.94,64.4,6.93
31,bluff,92,AU,1552666410,99,-23.58,149.07,67.33,5.64
32,hilo,75,US,1552666402,72,19.71,-155.08,64.4,3.36
33,neiafu,75,TO,1552665600,94,-18.65,-173.98,77,5.82
34,virginia beach,40,US,1552666639,64,36.85,-75.98,73.99,18.34
35,constitucion,75,MX,1552666216,52,23.99,-104.67,57.99,2.24
36,chifeng,92,CN,1552666724,85,42.27,118.96,28.72,2.62
37,gumdag,92,TM,1552666724,77,39.2,54.59,56.26,9.66
39,bredasdorp,12,ZA,1552665640,78,-34.53,20.04,77,16.11
40,pangkalanbuun,24,ID,1552666724,92,-2.68,111.62,75.79,2.84
42,oktyabrskoye,0,RU,1552666218,55,56.73,85.44,37,8.95
43,qadirpur ran,0,PK,1552665600,52,30.29,71.67,69.8,3.18
44,narrabri,80,AU,1552662000,50,-30.33,149.78,75.2,9.17
45,wasilla,1,US,1552666610,74,61.58,-149.44,33.01,4.7
46,hermanus,0,ZA,1552665656,77,-34.42,19.24,90,11.01
47,isangel,32,VU,1552662000,100,-19.55,169.27,75.2,2.24
48,qaanaaq,24,GL,1552666404,100,77.48,-69.36,-16.1,6.76
49,punta arenas,90,CL,1552665796,76,-53.16,-70.91,55.4,19.46
50,amapa,20,HN,1552665600,51,15.09,-87.97,86,5.82
51,scarborough,44,GB,1552666577,61,54.28,-0.41,50,23.04
52,kaitangata,8,NZ,1552666458,85,-46.28,169.85,47.71,3.62
53,cape town,0,ZA,1552666391,51,-33.93,18.42,90,10.29
54,tasiilaq,20,GL,1552661400,79,65.61,-37.64,19.4,4.7
55,port elizabeth,75,US,1552666369,60,39.31,-74.98,71.6,24.16
56,castro,0,CL,1552665600,52,-42.48,-73.76,68,8.05
57,jirkov,90,CZ,1552666625,100,50.5,13.45,50,10.29
58,busselton,0,AU,1552666260,56,-33.64,115.35,64.99,17.83
59,praia,40,BR,1552662000,43,-20.25,-43.81,87.8,3.36
60,albany,90,US,1552666249,76,42.65,-73.75,62.01,8.05
61,atuona,0,PF,1552666409,99,-9.8,-139.03,82.45,15.82
62,mehran,40,IR,1552665600,75,33.12,46.17,44.6,2.24
63,deputatskiy,20,RU,1552666727,35,69.3,139.9,-24.74,2.84
65,cidreira,0,BR,1552666413,85,-30.17,-50.22,79.57,7.65
67,rawson,92,AR,1552666727,100,-43.3,-65.11,60.49,8.99
68,leeton,0,AU,1552662000,49,-34.55,146.4,71.6,16.11
69,lagoa,0,PT,1552666329,32,37.14,-8.45,75.99,9.17
70,luzhou,92,CN,1552666728,91,28.89,105.45,51.4,2.39
71,hwange,44,ZW,1552666728,27,-18.35,26.5,92.44,11.23
72,guerrero negro,0,MX,1552666438,67,27.97,-114.04,49.15,6.53
73,framingham,90,US,1552666723,77,42.28,-71.42,59,14.99
74,seoul,20,KR,1552665600,80,37.57,126.98,37.4,1.12
75,chernyshevskiy,80,RU,1552666729,88,63.01,112.47,22.06,3.74
76,lebu,0,ET,1552666416,19,8.96,38.73,73.45,10.67
77,wamba,20,CD,1552666729,24,2.14,27.99,95.95,5.64
79,cayenne,75,GF,1552665600,66,4.94,-52.33,84.2,14.99
80,karratha,0,AU,1552666436,63,-20.74,116.85,80.11,8.66
83,provideniya,76,RU,1552666425,100,64.42,-173.23,18.64,21.74
84,imbituba,75,BR,1552665600,69,-28.24,-48.67,80.6,9.17
85,nzerekore,0,GN,1552666730,29,7.76,-8.82,98.83,4.18
86,meulaboh,48,ID,1552666488,100,4.14,96.13,79.57,3.74
87,komsomolskiy,68,RU,1552666422,81,67.55,63.78,5.59,6.42
88,hobart,75,AU,1552666335,72,-42.88,147.33,59,4.7
89,la ciotat,0,FR,1552666683,42,43.17,5.6,71.6,26.4
90,chuy,88,UY,1552666411,91,-33.69,-53.46,75.79,8.1
91,pacific grove,1,US,1552666433,53,36.62,-121.92,52,5.82
92,garissa,0,KE,1552666731,32,-0.46,39.64,95.95,7.65
93,ust-nera,44,RU,1552666444,52,64.57,143.24,-20.78,2.28
94,saint anthony,90,US,1552665360,63,43.97,-111.68,26.6,2.73
95,aksarka,0,RU,1552666531,54,66.56,67.8,-5.03,2.84
96,grand gaube,20,MU,1552666444,78,-20.01,57.66,80.01,5.19
97,ixtapa,75,MX,1552666208,83,20.71,-105.21,75,4.7
98,nemuro,0,JP,1552666421,90,43.32,145.57,32.77,14.47
100,qasigiannguit,75,GL,1552665000,46,68.82,-51.19,6.8,4.7
101,urengoy,48,RU,1552666732,78,65.96,78.37,6.67,6.2
102,jamestown,0,AU,1552666235,84,-33.21,138.6,51.85,6.76
103,codrington,92,AU,1552666389,94,-28.95,153.24,68,5.08
104,sao filipe,0,CV,1552666449,78,14.9,-24.5,75.25,17.94
106,avarua,76,CK,1552665600,88,-21.21,-159.78,77,19.46
